,x,test-y,ideal-6_y,delta-y_ideal-6_y,Ideal Function
0,-20.0,2861.3574,,,6
1,-18.7,-3.9215298,,,6
2,-17.5,0.22947593,,,6
3,-17.5,-17.11462,,,6
4,-17.4,-13511.514,,,6
6,-16.3,-8.070232,-0.55805224,7.51217976,6
7,-16.0,-4.8444533,-0.2879033,4.55655,6
11,-12.9,-0.4529254,0.32747445,0.78039985,6
13,-12.5,-1.4725168,-0.066321895,1.406194905,6
14,-11.7,-0.9947322,-0.7619836,0.23274859999999997,6
17,-9.7,-2.7348197,-0.2717606,2.4630591,6
18,-9.0,4.3709817,0.4121185,3.9588631999999997,6
21,-8.3,0.31644812,0.90217185,0.58572373,6
24,-6.6,-0.2251311,0.31154135,0.53667245,6
26,-5.7,1.828696,-0.5506855,2.3793815,6
27,-5.4,-1.8876597,-0.7727645,1.1148951999999999,6
28,-5.0,-4.8346496,-0.9589243,3.8757252999999996,6
29,-4.7,-1.0149893,-0.9999232,0.015066100000000082,6
30,-4.6,0.62587744,-0.993691,1.61956844,6
31,-4.3,-11.712081,-0.91616595,10.79591505,6
32,-4.3,-4.7088246,-0.91616595,3.79265865,6
34,-3.9,-7.936308,-0.68776613,7.24854187,6
35,-3.5,-2.7388372,-0.35078323,2.3880539699999996,6
37,-2.8,0.7222169,0.33498815,0.38722875000000007,6
38,-2.6,-0.84336996,0.5155014,1.35887136,6
40,-1.6,-0.22908556,0.9995736,1.2286591599999999,6
41,-1.5,0.29984066,0.997495,0.69765434,6
42,-1.0,-0.41462877,0.84147096,1.2560997299999999,6
43,-1.0,2.1515043,0.84147096,1.31003334,6
44,-0.9,0.9397264,0.7833269,0.1563994999999999,6
45,-0.6,1.6062324,,,6
46,-0.4,-0.07180414,,,6
47,-0.1,0.26104912,,,6
48,0.2,4.2612734,,,6
49,0.4,14.933,,,6
50,1.1,9.401569,-0.89120734,10.29277634,6
51,1.4,0.31926435,-0.98544973,1.30471408,6
54,3.6,-2.097083,0.44252044,2.53960344,6
59,6.4,-1.1268044,-0.1165492,1.0102552,6
61,7.1,1.2466067,-0.72896904,1.97557574,6
64,7.9,8.718888,-0.99894136,9.71782936,6
65,9.1,3.0492904,-0.31909835,3.36838875,6
66,10.4,0.28039157,0.82782644,0.54743487,6
68,11.0,-10.541548,0.9999902,11.541538200000002,6
70,12.2,-1.0703908,0.35822928,1.42862008,6
71,12.7,-1.7541701,-0.13323204,1.62093806,6
75,15.2,-0.70067745,-0.4863987,0.21427875000000002,6
77,15.2,7.320115,-0.4863987,7.8065137,6
78,15.3,7.1257195,-0.3967406,7.5224601,6
79,15.3,7.1163974,-0.3967406,7.5131380000000005,6
82,17.3,15538.486,,,6
83,17.9,2909.7227,,,6
84,18.0,8000.475,,,6
85,18.1,0.03392735,,,6
86,18.3,-10.429502,,,6
87,18.6,-3348.2112,,,6
88,18.8,8999.768,,,6
