,x,test-y,ideal-8_y,delta-y_ideal-8_y
11,-12.9,-0.4529254,0.09427045,0.54719585
14,-11.7,-0.9947322,-0.9735021,0.02123009999999992
21,-8.3,0.31644812,-0.22314377,0.53959189
24,-6.6,-0.2251311,-0.4098569,0.18472580000000002
30,-4.6,0.62587744,0.73870605,0.11282861
37,-2.8,0.7222169,0.99990225,0.27768534999999994
41,-1.5,0.29984066,0.7780732,0.47823254000000004
44,-0.9,0.9397264,0.72428715,0.21543924999999997
46,-0.4,-0.07180414,0.15931821,0.23112234999999998
47,-0.1,0.26104912,0.009999833,0.251049287
51,1.4,0.31926435,0.92521155,0.6059472
66,10.4,0.28039157,0.974806,0.6944144299999999
70,12.2,-1.0703908,-0.9265537,0.14383709999999994
75,15.2,-0.70067745,-0.9911765,0.29049905
