,0,1,2,3,4
18,-18.2,-11.064581,-4251.9775,-1.1099521,-18080.992
19,-18.1,-12.585077,-4172.9204,0.8842008,-17784.004
20,-18.0,-13.615638,-4096.1074,-0.7340496,-17490.734
21,-17.9,-14.753804,-4019.6792,-0.5049692,-17201.42
22,-17.8,-15.162377,-3944.01,-0.04611844,-16914.465
31,-16.9,-15.892971,-3308.1443,0.5870107,-14474.99
32,-16.8,-15.222698,-3241.86,-0.21125866,-14219.441
33,-16.7,-14.190983,-3176.0684,0.5368699,-13967.139
34,-16.6,-12.729238,-3112.325,-1.264058,-13718.262
35,-16.5,-12.086964,-3048.515,0.576161,-13471.354
36,-16.4,-10.732349,-2985.7012,-0.5934363,-13228.161
37,-16.3,-9.501635,-2924.1738,0.6047788,-12986.921
38,-16.2,-7.9083586,-2863.5078,-0.8561692,-12749.97
39,-16.1,-6.028667,-2803.3418,0.5849322,-12514.738
40,-16.0,-4.807992,-2744.2612,-0.6309159,-12283.001
41,-15.9,-2.6125748,-2685.8743,0.5444181,-12054.188
42,-15.8,-1.0449609,-2628.4465,-0.9832276,-11827.838
43,-15.7,0.5664694,-2571.71,0.54396695,-11604.974
44,-15.6,1.7506734,-2515.5825,-0.5785644,-11384.363
45,-15.5,3.5904198,-2460.3408,0.6479034,-11166.518
46,-15.4,4.8072515,-2406.0725,-1.2804681,-10951.984
47,-15.3,6.3276258,-2353.0571,1.325505,-10739.601
48,-15.2,7.138126,-2300.0115,-0.9095724,-10530.333
49,-15.1,8.6012125,-2247.9675,0.85847944,-10324.326
50,-15.0,10.032622,-2197.3303,-0.9693999,-10119.621
51,-14.9,10.758872,-2146.9917,0.9156395,-9918.54
52,-14.8,11.877891,-2097.5225,-1.1052465,-9720.03
53,-14.7,12.3686905,-2048.839,0.69777256,-9524.923
54,-14.6,13.172329,-2000.5376,-0.72993624,-9330.966
55,-14.5,13.423563,-1953.1348,0.21092786,-9141.365
56,-14.4,13.963483,-1907.0941,-0.08864089,-8953.221
57,-14.3,13.963411,-1860.7697,-0.031691678,-8767.612
58,-14.2,14.044118,-1815.886,0.20618565,-8584.498
59,-14.1,14.144396,-1771.8081,-1.2048475,-8404.711
60,-14.0,13.896788,-1727.9681,1.1819439,-8226.678
61,-13.9,13.398359,-1684.6824,-1.0652844,-8051.6147
62,-13.8,12.577116,-1642.8695,0.96709424,-7879.0884
63,-13.7,12.357122,-1601.9075,-0.30882752,-7708.901
64,-13.6,12.0578985,-1561.1946,0.53235483,-7541.1074
65,-13.5,11.134732,-1520.8685,-0.36697233,-7375.8325
66,-13.4,10.05301,-1481.7994,-0.7940724,-7213.137
67,-13.3,8.921978,-1442.4752,0.40855175,-7053.0137
68,-13.2,8.208398,-1404.8939,-1.1977576,-6895.128
69,-13.1,6.625934,-1367.2313,1.0651046,-6739.054
70,-13.0,5.484776,-1331.4626,-1.058857,-6586.4727
71,-12.9,4.5223556,-1294.7783,-0.12655571,-6435.112
72,-12.8,3.258428,-1259.5875,0.7519169,-6286.913
73,-12.7,1.8149043,-1224.797,-0.8308419,-6140.503
74,-12.6,-0.059200667,-1190.6421,0.59140927,-5996.121
75,-12.5,-0.6683,-1157.8187,-0.7755406,-5853.939
76,-12.4,-1.562236,-1124.3883,-0.1383549,-5714.622
77,-12.3,-3.3080225,-1093.0437,0.34195197,-5577.515
78,-12.2,-4.1259108,-1061.0875,-0.9938041,-5442.6553
79,-12.1,-5.775943,-1030.4879,0.7708041,-5310.0913
80,-12.0,-6.9297905,-999.8651,-0.58185893,-5179.497
81,-11.9,-7.292269,-970.4375,0.19838384,-5050.481
82,-11.8,-8.025655,-941.3956,0.46568978,-4923.963
83,-11.7,-8.508838,-912.2536,-1.1804239,-4800.223
84,-11.6,-9.061781,-884.3162,0.17955734,-4677.7397
85,-11.5,-10.188005,-857.22705,0.10266193,-4557.7744
86,-11.4,-10.788264,-830.6691,-0.95989674,-4439.466
87,-11.3,-10.686659,-804.72736,0.5266739,-4323.455
88,-11.2,-11.311208,-779.0298,-0.42351162,-4209.4277
89,-11.1,-10.826078,-753.6284,-0.30975106,-4097.9316
90,-11.0,-10.616095,-728.5809,1.2154313,-3988.0693
91,-10.9,-11.085706,-704.7267,-0.5687403,-3880.4075
92,-10.8,-10.842255,-681.50525,-0.21981029,-3773.814
93,-10.7,-9.811284,-658.04565,0.7096902,-3669.7964
94,-10.6,-9.77279,-635.57996,-0.43926615,-3567.6143
95,-10.5,-9.061938,-614.1802,0.042980757,-3468.2388
96,-10.4,-8.754871,-592.873,1.0851153,-3369.8972
97,-10.3,-7.7869296,-571.91956,-1.1624209,-3273.104
98,-10.2,-6.8742867,-551.4692,-0.4613653,-3178.8716
99,-10.1,-6.613434,-531.3761,1.03995,-3085.838
100,-10.0,-5.304581,-512.1785,-0.7568163,-2994.9136
101,-9.9,-4.2527657,-492.99426,-0.09167226,-2906.0413
102,-9.8,-4.0675244,-474.66806,0.9689963,-2818.8738
