,x,test-y,ideal-29_y,delta-y_ideal-29_y,Ideal Function
0,-20.0,2861.3574,,,29
1,-18.7,-3.9215298,,,29
2,-17.5,0.22947593,,,29
3,-17.5,-17.11462,,,29
4,-17.4,-13511.514,,,29
5,-16.9,-3307.1895,-4541.199,1234.0094999999997,29
9,-14.9,-2146.1052,-3085.939,939.8337999999999,29
10,-13.5,-1519.49,-2278.125,758.635,29
11,-12.9,-0.4529254,-1980.279,1979.8260746,29
12,-12.5,-1156.3655,-1796.875,640.5094999999999,29
13,-12.5,-1.4725168,-1796.875,1795.4024832,29
14,-11.7,-0.9947322,-1464.723,1463.7282678,29
17,-9.7,-2.7348197,-818.583,815.8481803,29
18,-9.0,4.3709817,-648.0,652.3709817,29
20,-8.3,-251.20963,-502.897,251.68737,29
21,-8.3,0.31644812,-502.897,503.21344812,29
23,-6.7,-895.968,-255.873,640.095,29
24,-6.6,-0.2251311,-243.936,243.7108689,29
25,-5.8,-55.442513,-161.472,106.02948700000002,29
26,-5.7,1.828696,-152.703,154.531696,29
27,-5.4,-1.8876597,-128.304,126.4163403,29
28,-5.0,-4.8346496,-100.0,95.1653504,29
29,-4.7,-1.0149893,-81.733,80.71801070000001,29
30,-4.6,0.62587744,-76.176,76.80187744,29
31,-4.3,-11.712081,-61.017,49.304919000000005,29
32,-4.3,-4.7088246,-61.017,56.3081754,29
33,-4.1,-201.09651,-52.111,148.98551,29
34,-3.9,-7.936308,-44.109,36.172692,29
35,-3.5,-2.7388372,-30.625,27.8861628,29
36,-2.9,-68.749565,-15.979,52.770565000000005,29
37,-2.8,0.7222169,-14.112,14.8342169,29
38,-2.6,-0.84336996,-10.816,9.97263004,29
40,-1.6,-0.22908556,-1.536,1.3069144400000001,29
41,-1.5,0.29984066,-1.125,1.42484066,29
42,-1.0,-0.41462877,2.7000624e-13,0.41462877000027,29
43,-1.0,2.1515043,2.7000624e-13,2.15150429999973,29
44,-0.9,0.9397264,0.081,0.8587264,29
45,-0.6,1.6062324,,,29
46,-0.4,-0.07180414,,,29
47,-0.1,0.26104912,,,29
48,0.2,4.2612734,,,29
49,0.4,14.933,,,29
50,1.1,9.401569,2.541,6.860569,29
51,1.4,0.31926435,4.704,4.38473565,29
52,1.8,54.41447,9.072,45.342470000000006,29
53,2.4,86.15473,19.584,66.57073,29
54,3.6,-2.097083,59.616,61.713083,29
55,3.9,206.53499,74.529,132.00599,29
56,4.7,301.79636,125.913,175.88335999999998,29
57,5.3,390.2667,176.967,213.2997,29
58,5.6,439.5265,206.976,232.5505,29
59,6.4,-1.1268044,303.104,304.2308044,29
60,6.7,906.75336,345.653,561.10036,29
61,7.1,1.2466067,408.321,407.07439330000005,29
62,7.3,804.66425,442.307,362.35725,29
63,7.8,941.35315,535.392,405.96115,29
64,7.9,8.718888,555.449,546.730112,29
65,9.1,3.0492904,836.381,833.3317096,29
66,10.4,0.28039157,1233.024,1232.74360843,29
67,10.7,2047.6775,1339.533,708.1445000000001,29
68,11.0,-10.541548,1452.0,1462.541548,29
69,11.7,2570.3477,1738.503,831.8446999999999,29
70,12.2,-1.0703908,1964.688,1965.7583908000001,29
71,12.7,-1.7541701,2209.673,2211.4271701,29
81,16.2,6029.632,4513.968,1515.6639999999998,29
82,17.3,15538.486,,,29
83,17.9,2909.7227,,,29
84,18.0,8000.475,,,29
85,18.1,0.03392735,,,29
86,18.3,-10.429502,,,29
87,18.6,-3348.2112,,,29
88,18.8,8999.768,,,29
